Judul;Views;Like;Kategori
Polri Fokus Disiplinkan Warga agar Patuhi Protokol Covid Saat PSBB Total;13;0;Nasional
Mendagri Tolak Usulan Mutasi 4.156 ASN demi Jaga Netralitas Pilkada 2020;18;0;Nasional
Jokowi: Cara Kerja Berubah Akibat Pandemi, Dulu Dianggap Tak Wajar;12;0;Nasional
Akibat Corona, 215 Negara Hadapi Masalah Kesehatan dan Ekonomi Sangat Rumit;17;0;Ekonomi
Liza Aditya Gandeng Berondong Baru Setelah Putus dari Atta Halilintar;34;2;Entertaintment
Diisukan Bangkrut, Ini Bantahan Hotman Paris;9;0;Entertaintment
Atta Halilintar Ketar-ketir, Gelar YouTuber Nomor 1 Asia Terancam Tergeser;41;0;Entertaintment
Nella Kharisma dan Dory Harsa Ungkap Kebahagiaan Usai Menikah;53;2;Entertaintment
Tokoh Teater Inggris Andrew Lloyd Webber Ikut Uji Coba Vaksin Covid-19;15;2;Entertaintment
Spoiler Manga One Piece 990;70;2;Entertaintment
Bank Jateng Siapkan Kader Pemimpin Masa Depan;47;2;Ekonomi
Anya Geraldine Berendam di Bathtub, Netizen Kepo Siapa yang Fotoin;42;2;Entertaintment
BNN Ungkap Modus Baru Simpan Sabu dalam Masker di Magelang;22;2;Entertaintment
Jakarta PSBB, Pemkab Gunungkidul Minta Semua Desa Data Pemudik;15;2;Jateng-DIY
Satu Bus Ringsek dalam Tabrakan Beruntun di Tol Cipali;24;2;Nasional
Mulai Hari Ini Langgar Protokol Kesehatan di Blora Didenda Rp 100 Ribu;79;3;Jateng-DIY
Berkas Kasus Red Notice Djoko Tjandra Dinilai Tak Lengkap Kejagung Kembalikan ke Bareskrim;10;0;Nasional
Kepepet Butuh Uang, Kurir Beristri 2 di Sleman Nekat Bikin Orderan Fiktif;159;15;Jateng-DIY
Bupati Brebes dan Keluarganya Di-Swab Usai Ketua DPRD Positif Corona;16;2;Jateng-DIY
Kasus Covid-19 di RI Tambah 3.737, Jadi 210.940;6;0;Nasional
Inian Inisial Nama-nama Muncul di Kasus Djoko yang Harus Ditelurusi KPK;24;2;Nasional
MAKI Beri Bahan Tambahan untuk Kasus Djoko Tjandra;13;2;Nasional
SBO TV Dijatuhi Sanksi Terkait Tayangan Logo PDIP Jadi Lambang Sila ke-4;22;2;Nasional
Yakin Saling Terkait, KPK Ingin Kasus Djoko Tjandra Dijadikan Satu;8;0;Nasional
7 Kantor Cabang BNI di Yogyakarta Ditutup Gegara Pegawai Suspek Corona;29;2;Jateng-DIY
Ini Sebaran 3.737 Kasus Baru Corona di RI Per 11 September, DKI Terbanyak;17;2;Nasional
Setelah Ruang Rindu, Mawar de Jongh Kini Bawa Ulang Tanya Hati;30;2;Entertaintment
Sudah 111 Dokter di Indonesia Meninggal Selama Pandemi Corona;11;0;Nasional
Penjelasan Kemenkes Soal Kabar RS di DKI Terancam Kolaps;25;2;Nasional
Daftar Wisata di Jakarta yang Tutup karena PSBB Diberlakukan Lagi;22;2;Nasional
Ragunan Siap Ikuti Arahan Anies, Tutup Selama PSBB;21;2;Nasional
6 Saksi Kecelakaan Maut di Tol Boyolali Diperiksa Polisi;108;90;Jateng-DIY
Jamasan Ribuan Pusaka di Museum Tosan Aji Purworejo;35;3;Jateng-DIY
Sidang Putusan Raja dan Ratu Keraton Agung Digelar Sore Ini Virtual;33;0;Jateng-DIY
Ini Aturan Lengkap Aktivitas di Bandara Selama Masa PSBB;14;0;Ekonomi
Kantor Pelayanan BNN Cilacap Tetap Buka Meski Ada Pegawai Kena Corona;18;0;Nasional
Anies Kukuhkan Anggota Dewan Kesenian Jakarta Periode 2020-2023;17;0;Nasional
Pembatasan Sosial Berskala Mikro Dinilai Jokowi Lebih Efektif;25;0;Nasional
Terdampak Corona, 45 Ribu UMKM Klaten Ajukan Bantuan Modal Rp 2,4 Juta;305;97;Jateng-DIY
KH Taefur Arofat Ketua Umum MUI Banyumas;76;2;Jateng-DIY
Sidang Vonis Raja-Ratu Keraton Agung Sejagat Diundur Senin Pekan Depan;535;154;Jateng-DIY
Hasil Latihan Bebas I MotoGP San Marino: Vinales Jadi yang Tercepat;21;2;Sport
#Alive: Gamer Yang Harus Survive Dari Zombie;17;2;Entertaintment
Liverpool Kejar Thiago? Ini Kata Klopp;13;0;Sport
Ini Hoho, Kades yang Viral karena Tubuhnya Penuh Tato;121;65;Jateng-DIY
Tim Indonesia Mundur dari Piala Thomas dan Uber 2020;26;2;Sport
Griezmann Jadi Pemilik Baru Nomor Tujuh Barcelona;38;2;Sport
Silang Pendapat Sistem Kerja Anies-Airlangga Saat PSBB Diberlakukan Lagi;26;2;Nasional
Pengusaha Sentil Kebijakan PSBB Jakarta: Harusnya Tidak Dipukul Rata;15;2;Nasional
Soal Perbedaan PSBB dan PSBM, Ini Penjelasan Satgas Covid-19;1125;2;Nasional
Seruan Cegah Bunuh Diri dalam Lagu Marshmello dan Demi Lovato;20;2;Entertaintment
Ria Ricis Paksa Teman Makan Durian Habis Dijilati;38;2;Entertaintment
Polisi Rilis Hasil Autopsi Jenazah Artis Hollywood Naya Rivera;19;2;Entertaintment
Terjaring Razia Masker, Puluhan Orang Bersihkan Kali di Solo;25;2;Jateng-DIY
Mayat Pria Tangan-Kaki Terikat Ditemukan di Bawah Jembatan Tol Pemalang-Batang;75;5;Jateng-DIY
3 Orang Positif Hasil Tracing PKL Malioboro Meninggal karena Corona;19;0;Jateng-DIY
Selain Hoho Masih Banyak Kades di Banjarnegara Bertato;47;0;Jateng-DIY
Pemda DIY Bicara Kapasitas Tempat Tidur RS Hadapi Melonjaknya Kasus Corona;9;0;Jateng-DIY
Forum Kepala Desa Banjarnegara Angkat Bicara Soal Heboh Kades Bertato;74;7;Jateng-DIY
1 Dokter RSUD Kota Salatiga Positif Corona, 14 Orang Test Swab;66;2;Jateng-DIY
Mayat Kaki-TanganTerikat di Bawah Tol Batang Diduga Korban Pembunuhan;21;2;Jateng-DIY
Jalani Vonis 2 Tahun Bui Idrus Marham Akhirnya Bebas;8;0;Nasional
Ini Tanggapan KPK Soal Bebasnya Idrus Marham Usai Jalani 2 Tahun Penjara;10;0;Nasional
Jurnalisnya Diteror Melalui Doxing, Liputan6.com Tempuh Jalur Hukum;10;0;Nasional
Seniman Boneka Gatot Soenjoto Tutup Usia;18;0;Entertaintment
Tiara Andini Trending, Ini Sederet Info Tentangnya;27;2;Entertaintment
Cerita Shandy Aulia Jalani 2 Agama, Kristen dan Islam;22;0;Entertaintment
Cerita Alice Norin, Baru Jadi Mualaf Langsung Main Film Religi;26;0;Entertaintment
Zara Adhisty Unggah Video Senang-senang, Katanya Kangen;75;0;Entertaintment
Katie Holmes Dimabuk Asmara, Pacari Pria yang Telah Bertunangan;22;0;Entertaintment
Toko Roti Trubus Yogya Kebakaran, 1 Karyawan Tewas;48;5;Jateng-DIY
3 Arca Ditemukan Pencari Batu di Hutan Jati Grobogan;35;0;Jateng-DIY
Begini Kronologi Relawan Vaksin Sinovac Positif Covid-19;11;0;Nasional
Calon Wawalkot PDP Merasa Dilecehkan soal ?Sekamar Saja? Bisa Lapor ke Bawaslu;12;0;Nasional
Tim Riset Jelaskan soal Plasebo Terkait Relawan Vaksin Sinovac Positif Covid-19;17;0;Nasional
Arus Lalin Menuju Puncak Padat, Polisi Berlakukan One Way;7;0;Nasional
Begini Kronologi Relawan Vaksin Sinovac Positif Covid-19;15;0;Nasional
Perjalanan Kasus Idrus Marham hingga Bebas dari Bui;30;0;Nasional
Lebih Efektif Mana, PSBB VS PSBM?;27;2;Nasional
Warga Datangi TKP Penemuan Mayat yang Kaki-Tangannya Terikat di Batang;30;0;Jateng-DIY
Polri Gandeng Preman Pasar Disiplinkan Masker, IKAPPI DKI: Kurang Humanis ;9;0;Nasional
Soal PSBB Total, Bima Arya Sebut Anies Belum Selesai Koordinasi dengan Jabar;19;0;Nasional
Dory Harsa Nikahi Nella Kharisma, Tak Ada Acara Keluarga di Solo;32;0;Entertaintment
Alice Norin Berhenti Jadi DJ, Ngaku Tak Lagi Seksi;14;0;Entertaintment
Fatin Shidqia Putus dari Putra Bupati Musi Rawas;13;0;Entertaintment
Kontroversi Shandy Aulia di Luar Pengakuan Jalani 2 Agama;27;0;Entertaintment
Andhika Pratama Mandikan Anak Kelima dengan Air Mineral;11;0;Entertaintment
DPR: RS Covid-19 DKI Jakarta Masih Cukup, Terpakai 63% Saja;10;0;Entertaintment
Terdengar Ledakan Sebelum 6 Truk Tangki di Margomulyo Hangus Terbakar;15;0;Nasional
Warga Sekitar TPST Piyungan Keluhkan Limbah Sampah;26;0;Jateng-DIY
Studi Terbaru: Makan di Restoran Peluang Tertular Virus Corona Lebih Besar;40;0;Nasional
Tak Percaya Corona, Seorang Mahasiswa di Depok Kini Terinfeksi;36;0;Nasional
Pelatihan Pembuatan Ikan Asap Menggunakan Asap Cair bagi UMKM Kendal;39;0;Jateng-DIY
Pandemi Covid-19, New York Fashion Week Tetap Digelar Tamu Dibatasi;8;0;Entertaintment
Asik Selfi Mahasiswi Ini Hilang Terseret Ombak Pantai Kebumen;42;0;Jateng-DIY
Menewaskan 1 Karyawan, Toko Roti Trubus Yogya Diduga Sengaja Dibakar;36;0;Jateng-DIY
Nitizen Sebut Dory Harsa Murtad;71;0;Entertaintment
Tambah 4 Orang, Dokter Meninggal Selama Pandemi Covid-19 Jadi 115;35;0;Nasional
Korban Tewas Terpanggang, Ternyata Pelaku Pembakar Toko Roti dan Kue Trubus;1716;332;Jateng-DIY
Kasus Positif Corona di Indonesia Hari Ini Tambah 3.806 Jadi 214.746;9;0;Nasional
Penyanyi Negeri Jiran Sandra Dianne Meninggal Dunia di Usia 25 Tahun;31;0;Entertaintment
Begini Kondisi Terkini Toko Roti Trubus Yogya;261;12;Jateng-DIY
Ini Ciri-ciri Mayat yang Kaki dan Tangannya Terikat di Bawah Tol Batang;35;1;Jateng-DIY
Inter & Juventus Inginkan Marcelo, tapi Gajinya Kemahalan;10;0;Sport
Kualifikasi MotoGP San Marino: Yamaha Berkuasa, Vinales Rebut Pole;16;0;Sport
Pelantikan Pengurus Pusat JMSI Ditunda;13;0;Nasional
Lima Langkah Berbisnis Potensial;11;0;Ekonomi
Tentang Selebrasi Tutup Kuping Mo Salah;25;0;Sport
Indonesia Batalkan Permohonan Jadi Tuan Rumah Turnamen Seri Asia;9;0;Sport
Pemasok Narkoba di Jatim Ditembak Mati, Polisi Akan Datangkan DEA;52;0;Nasional
Ini 5 Fakta Kebakaran di Toko Trubus Yogya;503;128;Jateng-DIY
Ojol Boleh Angkut Penumpang Saat PSBB Jakarta;7;0;Nasional
Karantina Pertanian Semarang Bina BPP Banyubiru sebagai Model BPP Kostratani;48;0;Jateng-DIY
Poin-poin Penting Saat PSBB Ketat di Jakarta Besok;36;0;Nasional
Mal di Jakarta Diizinkan Beroperasi Saat PSBB Ketat, Pengunjung Maksimal 50%;16;0;Nasional
Syekh Ali Jaber Ditusuk Orang Tak Dikenal;33;0;Nasional
Hasil MotoGP San Marino: Franco Morbidelli Juara;19;0;Sport
Ditangkap, Pelaku Penusukan Syekh Ali Jaber di Lampung;62;1;Nasional
Ditusuk Orang Tak Dikenal, Syekh Ali Jaber: Allah Selamatkan dari Pembunuhan;37;2;Nasional
Ini Pelaku Penusuk Syekh Ali Jaber di Lampung;222;20;Nasional
PSBB Ketat Jakarta: Kapasitas Kantor Maksimal 25%;27;2;Nasional
Mulai Hari Ini PSBB Diberlakukan, Masuk Jakarta Tak Perlu SKIM ? Ojol Boleh Beroperasi;25;0;Nasional
Polisi Sebut Kondisi Lalin di Jakarta Padat Meski PSBB Ketat;12;0;Nasional
Mahfud Md Sentil Tata Kata Anies Bikin Perekonomian Terkejut, Negara Rugi Rp 300 T;57;0;Nasional
Terancam Penjara 5 Tahun Penusuk Syekh Ali Jaber Ditetapkan Jadi Tersangka;26;0;Nasional
PDIP-PKB Terpaksa Ganti Cawabup Demak di Pilkada Gegara Tak Lolos Tes Kesehatan;55;0;Jateng-DIY
Bursa Pilkada Sragen Petahana Bakal Lawan Kotak Kosong;9;0;Jateng-DIY
Dolar AS Balik ke Level Rp 14.800 di Hari Pertama PSBB;13;0;Ekonomi
Mal Tetap Buka Saat PSBB Kecuali Tempat Fitnes, Wahana Mainan Anak dan Bioskop;48;0;Ekonomi
Ini Syarat Lengkap Keluar Masuk Jakarta selama PSBB Total;29;0;Nasional
Pendataran Diperpanjang, Pilkada Kebumen Tetap Diikuti Satu Paslon;7;0;Jateng-DIY
Pasukan TNI Bakal Masuk Perkantoran Saat PSBB Ketat Cek Protokol Covid-19;17;0;Nasional
Pegawai KPK Masuk Kantor Dibatasi 25 Persen Saat Jakarta PSBB Ketat;7;0;Nasional
Jokowi Lantik 20 Dubes RI, Termasuk Waketum PBB dan Eks Presdir Metro TV;18;0;Nasional
Mayat Wanita Ditemukan di Kebun Tebu Magelang;41;0;Jateng-DIY
Pengakuan AA Penusuk Syekh Ali Jaber: Merasa Dihantui;37;0;Nasional
Jokowi Minta Kepala Daerah Tak Terburu-buru Tutup Wilayah Penuh;8;0;Nasional
Rey Mbayang Beri Hadiah Dinda Hauw Motor: Jangan Ikut Balap Liar ya Sayang;38;0;Entertaintment
Syekh Ali Jaber Langsung Ceramah Lagi Usai Ditusuk Orang;25;0;Entertaintment
Dilaporkan Syahrini Pencemaran Nama Baik, Lia Ladysta Jadi Tersangka;24;0;Entertaintment
Jokowi Sebut Angka Kesembuhan Corona di Indonesia Masih Rendah;16;0;Nasional
Hotman Paris Bocorkan Isi Chat Anies Baswedan soal Protes PSBB Total;25;0;Entertaintment
Kisah Syekh Ali Jaber yang Belum Lama Resmi Jadi WNI;48;0;Entertaintment
Jadi Sorotan Jokowi, 4 Provinsi Ini Bikin Tingkat Kematian Covid-19 di RI Tinggi;21;0;Nasional
Gegara Tak Punya HP Siswi SMP Kudus Ini Ujian di Sekolah Sendirian;86;232;Jateng-DIY
Seperti Ini Penampilan Nefartari Vivi di One Piece Usai Diubah Eiichiro Oda;45;0;Entertaintment
KPU Catat 738 Paslon Mendaftar di Pilkada Serentak 2020;15;0;Nasional
Berkas Tak Lengkap, Pendaftaran Bupati Petahana di Pilkada Wonosobo Ditolak KPU;24;0;Jateng-DIY
Ekonomi Bantul Tumbuh dari Desa;12;0;Jateng-DIY
Lurah Jetis Gunungkidul Positif Corona, Kantor dan Klinik Ditutup Sementara;14;0;Jateng-DIY
15 Hotel Diubah Jadi Tempat Karantina, Kapasitasnya 3.000 Orang;22;0;Nasional
Gegara PSBB Bisnis Parkir di Jakarta Terancam Gulung Tikar;11;0;Nasional
Musim kedua Manga Burn the Witch Segera Terbit;70;0;Entertaintment
Ustad Solmed Minta PolisiTransparan Tangani Kasus Penusukan Syekh Ali Jaber;22;0;Nasional
3 Minggu Dirawat, Penyanyi Senior Iis Sugianto Sembuh dari Corona;16;0;Entertaintment
Pesan Yusuf Mansur Terkait Penusukan Syekh Ali Jaber yang Bikin Heboh;18;0;Entertaintment
Fakta ?Pasukan Khusus Rajawali? BIN yang Diungkap Pakar Intelijen;19;0;Nasional
Sekda DKI Saefullah Dikabarkan Terinfeksi Virus Corona;41;0;Nasional
MA Vonis Mati Warga Sumut Penyelundup 53 Kg Sabu dari Malaysia;18;0;Nasional
Kiki Amalia Bocorkan Cara Salurkan Hasrat Seks Selama 8 Tahun Menjanda;30;0;Entertaintment
Jokowi Soroti Ketimpangan Tes Corona: DKI 324 Ribu, Jatim Masih 184 Ribu;13;0;Nasional
Apapun Pandangan Politiknya Mahfud Minta Ulama Dilindungi;17;0;Nasional
1 Fakultas di UIN Yogya Ditutup, Ada Mahasiswanya Kena Corona;20;0;Jateng-DIY
Penampakan Mal di Jakarta Saat PSBB Jakarta Hari Pertama;21;0;Nasional
Geger Penusukan Syekh Ali Jaber Saat Dakwah, PP Muhammadiyah: Jahiliah!;22;0;Jateng-DIY
Kecelakaan Beruntun Bus Kemenhan dan 3 Kendaraan di GT Cililitan;26;0;Nasional
Polisi Cek CCTV Selidiki Nenek Dianiaya dan Nyaris Diperkosa di Klaten;19;3;Jateng-DIY
Mayat Korban Pembunuhan di Batang Diambil Keluarga, Polisi Masih Lidik;208;34;Jateng-DIY
Dirut dan 9 Nakes RS PKU Muhammadiyah Gamping Positif Covid-19;103;0;Jateng-DIY
1 Nelayan Hilang Saat Perahu Terbalik Dihantam Ombak di Pantai Kebumen;17;0;Jateng-DIY
Corona Masih Tinggi,Pakar Pemilu UGM Setuju Pilkada Ditunda Tahun Depan;15;0;Jateng-DIY
Pasar Cebongan Sleman Jadi Klaster Baru, 19 Orang Terinfeksi Corona;30;0;Jateng-DIY
Trisula Chelsea Bisa Lebih Garang Ketimbang Trio Firmansah;22;0;sport
Ade Firman Hakim Meninggal Dunia Karena Gejala COVID-19;95;0;Entertaintment
Ponakan Prabowo Jadi Waketum Gerindra, Janji Tak Ganggu Agenda Pilwalkot;18;0;Nasional
Heboh ?Pasukan Khusus Rajawali? BIN, Ini Penjelasan Bamsoet;10;0;Nasional
BIN Tergaskan Tak Ada Pasukan Rajawali, Jangan Kaitkan ke Schutzstaffel Nazi Jerman;19;0;Nasional
Lagi KKB Tembak Dua Warga Sipil di Intan Jaya Papua;11;0;Nasional
Pemprov Tutup 8 Perusahaan di DKI: 5 karena Kasus Corona, 3 Langgar PSBB;11;0;Nasional
Begini Pergerakan Rupiah Setelah Jakarta Mulai PSBB Lagi;7;0;Ekonomi
Utang Luar Negeri Indonesia Tumbuh 4,1%, Jadi Rp 6.104 T;8;0;Nasional
Pemerintah Terkesan Menentang PSBB Jakarta, Ini Jawaban Airlangga;8;0;Ekonomi
Selamat Jalan Ade Firman Hakim;24;0;Entertaintment
Usai MONSTA X, Kreator We Bare Bears Ingin Kolaborasi dengan BLACKPINK dan CL;44;0;Entertaintment
Jadi Tersangka Laporan Syahrini Ini Tanggapan Lia Ladysta;13;0;Entertaintment
Sahabat Tak Bisa Berkata-kata Tahu Ade Firman Hakim Meninggal;17;0;Entertaintment
Aktris Oh In Hye Meninggal Dunia usai Ditemukan Tak Sadarkan Diri;10;0;Entertaintment
Perjalanan Karier Oh In Hye Sebagai Aktris Drama dan Film;14;0;Entertaintment
Perkembangan Terakhir dari Klaster Corona Warung Soto Lamongan di Yogya;15;0;Jateng-DIY
Berkas Syarat Gibran di Pilkada Solo Dinyatakan Lengkap, Tapi Teguh Belum;33;1;Jateng-DIY
10 Orang Positif Corona, Kantor BPJS Boyolali Ditutup;426;341;Jateng-DIY
Paslon Independen Pilkada Solo Belum Lengkapi Syarat LHKPN;12;2;Jateng-DIY
PN Sleman Setop Aktivitas Perkantoran, Ada Pegawai Positif Corona;7;2;Jateng-DIY
KPU Sleman Rapat Pleno, Berkas 3 Bapaslon Belum Penuhi Syarat;9;2;Jateng-DIY
Ketua DPRD Brebes Kena Corona, I132 Anggota dan Staf Jalani Swab;6;0;Jateng-DIY
Bawaslu Jadi Klaster Terbesar , Kasus Corona di Boyolali Tembus 700;16;2;Nasional
Bupati Banjarnegara Ingatkan Kades Bertato Utamakan Kinerja;32;2;Jateng-DIY
Tambah Jadi 9 Orang Positif Hasil Tracing PKL Malioboro Meninggal Kena Corona;7;0;Jateng-DIY
Mahasiswa Panitia PPSMB UGM Diisolasi, Ada Keluarga Kena Corona;15;2;Jateng-DIY
Pedagang Pasar Beringharjo Positif Covid-19;8;0;Jateng-DIY
Lift Terhempas Jatuh dari Lantai 2, Ketua DPRD DIY Patah Tulang;8;2;Jateng-DIY
Rapat Bareng DPR RI, LPSK Ungkap Ada10 Staf Positif Corona;6;0;Jateng-DIY
Cabai Merah Lahan Pasir Tembus sampai Medan;16;2;Ekonomi
Lift yang Jatuh dari Lantai 2 Tenyata Milik Pribadi Ketua DPRD DIY;152;16;Jateng-DIY
Bocah SMP di Klaten Ini Punya Koleksi Ular Piton;11;3;Jateng-DIY
Pria Ini Sabet Warga Pakai Pisau Gegara Tak Terima Ditegur Geber Gas Motor;1072;238;Jateng-DIY
Jakarta PSBB Ketat, JK Imbau Masjid Tak Gelar Salat Jumat;7;0;Nasional
Kepala Inspektorat Brebes Positif Corona;43;0;Jateng-DIY
Kronologi Jatuhnya Lift yang Dinaiki Ketua DPRD DIY;26;2;Jateng-DIY
Tracing Klaster Soto Lamongan Yogya Dihentikan, 1 Orang Meninggal;17;2;Jateng-DIY
Dinilai Belum Aman, Sekolah Tatap Muka di Kota Salatiga Ditunda;13;2;Jateng-DIY
Warga Temukan Patok Batu, Diduga Batas Wilayah Masa Mataram Kuno Ditemukan di Klaten;36;0;Jateng-DIY
Nekat Gerayangi Teman Wanita, Pria Ini Dibekuk Polisi;2269;341;Jateng-DIY
Susah Sinyal dan Tak Punya HP Jadi Alasan Siswa SMP Kudus Ujian Online di Sekolah;15;0;Jateng-DIY
Aktris Jepang Sei Ashina Meninggal Dunia Diduga Bunuh Diri;17;0;Entertaintment
Keluarga Tegaskan Ade Firman Hakim Meninggal Bukan karena Covid-19;12;0;Entertaintment
Kematian Aktris Kamen Rider Sei Ashina Masih Misteri;36;3;Entertaintment
Kejamnya Rami Malek di James Bond No Time to Die;7;0;Entertaintment
Cerita Jackie Chan Tenggelam di Sungai, Sutradara Menangis;31;2;Entertaintment
Profil Sei Ashina, Aktris Jepang yang Meninggal Diduga Bunuh Diri;44;2;Entertaintment
PH Program untuk SCTV-Indosiar Tutup Studio Sementara, Karyawan Kena Corona;65;0;Entertaintment
Kasus Positif Corona Hari Ini Tambah 3.507, Jadi 225.030;5;0;Nasional
UIN Suka Yogyakarta Gelar SKB Online CPNS 2019;26;2;Jateng-DIY
Hakim Vonis Raja-Ratu Keraton Agung Sejagat 4 Tahun dan 1,5 Tahun;297;251;Jateng-DIY
Polisi Cek Peristiwa Jatuhnya Lift di DPRD DIY;7;0;Jateng-DIY
Ini Sederet Pengakuan Halu Raja-Ratu Keraton Agung Sejagat;16;2;Jateng-DIY
Penampakan Lift DPRD DIY yang Jatuh karena Tali Putus;34;2;Jateng-DIY
Ada Lowongan Kerja di PAM Jaya;15;2;Ekonomi
Penjual Kerajinan Kayu di Yogya Ini Raup Omzet Rp 4 Juta/Hari di Tengah Pandemi;46;2;Jateng-DIY
Pemkab Boyolali Sebut Kasus Corona Banyak karena Swab Masif;149;82;Jateng-DIY
Jamkrindo Jalin Kerjasama dengan Bank Kalsel Untuk Jamin Kredit Modal Kerja;12;0;Ekonomi
Barcelona Sudah Diskusi dengan Messi, Siap Lepas 12 Pemain;23;0;sport
Willian dan David Luiz Ajak Oscar Gabung ke Arsenal;20;0;sport
Soal Balap Lari Liar di Semarang, Ganjar: Tak Usah Bikin Event Kemruyuk!;435;87;Jateng-DIY
Pelaku Penusuk Syeikh Ali Jaber Viral di Medsos;61;12;Nasional
Cegah Manipulasi Angka, Luhut Minta Kemenkes-Dinkes Sinkronisasi Data Corona;14;0;Nasional
BIN Bantah Punya Pasukan Rajawali, Tepis Penyamaan Schutzstaffel Nazi;11;0;Nasional
Pagi Ini Dieng Berselimut Embun Es, Suhu Minus 5 Derajat;21;3;Jateng-DIY
Asosiasi Satpam Klaim Dilibatkan Penyusunan Aturan Baru Pam Swakarsa;28;2;Nasional
APSI Pastikan Seragam Cokelat Mirip Polisi Hanya untuk Satpam Kantor;17;2;Nasional
Pemprov DKI Tutup Sementara 10 Perusahaan di Hari Kedua PSBB Ketat;12;2;Nasional
Rumah dan Gudang di Kudus Kebakaran, Korban Rugi Rp 350 Juta;21;2;Jateng-DIY
Nasib Ekonomi RI Saat Jakarta PSBB Lagi, Ini Prediksi Sri Mulyani;17;2;Nasional
Pendiri PolMark Eep Saefulloh Bakal Dipolisikan Erwin Aksa;71;3;Nasional
Kontak Erat dengan Menteri KKP, Kapolres NTT Tertular Corona;70;2;Nasional
Luhut Lobi Arab Minta Tambahan 20 Juta Vaksi Corona;10;2;Nasional
Pertamina Respons Kritikan Ahok soal Borok Direksi;7;0;Ekonomi
Lia Ladysta Bakal Diperiksa Polisi usai Jadi Tersangka Kasus Syahrini;12;0;Entertaintment
Jawaban Kiki Fatmala soal Isu Pindah Agama;32;2;Entertaintment
Ana de Armas Jadi Marilyn Monroe;24;2;Entertaintment
Jaksa Klarifikasi Laporan Dugaan Insentif Nakes Corona di Puskesmas Brebes Disunat;53;2;Jateng-DIY
Dinkes Jepara Minta Maaf Terkait Ibu Melahirkan Sendiri di Puskesmas;345;12;Jateng-DIY
Sultan HB X: Jangan Anggap Corona Terlalu Berbahaya, Kita Adaptasi Aja;17;2;Jateng-DIY
PSSB Dinilai Matikan Ekonomi, Solo Pilih Isolasi Micil untuk Tangani Corona;9;0;Jateng-DIY
Kampus UNY Ditutup 3 Hari Gegara Istri Pegawai Kena Covid-19;12;0;Jateng-DIY
Kabar Duka, Istri Ketua DPRD DIY Meninggal Dunia;885;233;Jateng-DIY
Pihak Pemasang Lift Pribadi Ketua DPRD DIY yang Jatuh Angkat Bicara;22;0;Jateng-DIY
Kasus Tewasnya PSK di Kamar Hotel Sleman, Polisi Temukan Fakta Baru;2263;324;Jateng-DIY
Dugaan Penyebab Lift Pribadi Ketua DPRD DIY Jatuh karena Human Error;20;0;Jateng-DIY
Jaksa Panggil Kepala Dindagkop Blora Terkait Dugaan Jual Beli Kios Pasar;18;2;Jateng-DIY
Eep Akan Kembalikan Dana Rp 1,5 M Usai Mundur dari Kerja Sama Tim Appi-Rahman;16;2;Nasional
Aturan KPU Bolehkan Konser Saat Kampanye Pilkada Disorot Satgas Corona;23;2;Nasional
Patah Kaki Akibat Lift Pribadi Jatuh, Ketua DPRD DIY Operasi Pasang Pen;14;2;Jateng-DIY
Prajurit TNI Jadi Tersangka Penyerangan Polsek Ciracas Total 65 Orang;11;2;Nasional
PSBB Hari Kedua Pemprov DKI Tutup 23 Rumah Makan-Kafe;14;2;Nasional
Kantor DPRD DIY Ditutup 3 Hari Lantaran 4 Anggota Positif Covid-19;13;0;Jateng-DIY
Dirawat di RSPAD Gatot Soebroto karena Corona, Sekda DKI Saefullah Meninggal;5;0;Nasional
Warga Geruduk Balai Desa di Kudus Protes Pabrik Tahu Cemari Air;67;120;Jateng-DIY
Lewat Pesan Berantai Anies Ajak Sholat Gaib Doakan Sekda DKI Saefullah;13;2;Nasional
Usai Cerai dengan Gading Marten Gisel Ngaku Masalah Hidup Lebih Banyak;13;0;Entertaintment
Madonna Bakal Garap Film Biopiknya Sendiri;8;0;Entertaintment
Spoiler Manga Boruto 50;645;2;Entertaintment
Turut Berduka Saefullah Meninggal, Ahok: Saya yang Pilih Beliau Jadi Sekda DKI;30;2;Nasional
Berita Okky Lukman Positif Corona Hoax!;17;2;Entertaintment
Gegara Tweet Jefri Nichol Ditantang Bertemu Polisi di Bandung;29;2;Entertaintment
Karena Isu Pindah Agama Pernikahan Audi Marissa Jadi Heboh;37;0;Entertaintment
Belum Ingin Berdamai, Irwansyah Serius Polisikan Medina Zein;16;0;Entertaintment
Pakar Komunikasi UNS: Bikin Buruk Citra Pertamina Harusnya Ahok Bicara Internal;27;2;Jateng-DIY
Siswa SMA di Banyumas Cabuli 3 Bocah Sesama Jenis;21;3;Jateng-DIY
Meninggal Dunia karena Corona, Ini Profil Sekda DKI Saefullah;43;5;Nasional
Mayat Wanita Ditemukan di Kebun Tebu Magelang Ternyata Dibunuh Pacar;78;2;Jateng-DIY
Pandemi Corona HIV-AIDS di Kudus Meningkat, Seks Sesama Pria Sumbang 7 Persen;29;2;Jateng-DIY
Ucapkan Belasungkawa, Jokowi Sebut Saefullah Sahabat-Rekan Kerja yang Baik;16;2;Nasional
Polisi Tangkap Pria Ngamuk Sabet Warga Pakai Pedang: Diduga Pengedar Pil Koplo;260;21;Jateng-DIY
4 Anggota DPRD DIY Positif Covid-19;22;0;Jateng-DIY
